outer_id,speaker_id,제주방언,표준어
DZES20000051.1.1.1,1,상황은,상황은
DZES20000051.1.1.2,1,최악인데,최악인데
DZES20000051.1.1.3,1,약간,약간
DZES20000051.1.1.3,1,하나님께,하나님께
DZES20000051.1.1.3,1,감사하는,감사하는
DZES20000051.1.1.4,3,응,응
DZES20000051.1.1.4,3,진짜,진짜
DZES20000051.1.1.5,2,그,그
DZES20000051.1.1.5,2,안에,안에
DZES20000051.1.1.5,2,성녀님이,성녀님이
DZES20000051.1.1.5,2,계시니까,계시니까
DZES20000051.1.1.5,2,하나님이,하나님이
DZES20000051.1.1.5,2,함께,함께
DZES20000051.1.1.5,2,하시니,하시니
DZES20000051.1.1.6,1,계시니까?,계시니까?
DZES20000051.1.1.7,2,그렇지,그렇지
DZES20000051.1.1.8,1,아,아
DZES20000051.1.1.8,1,그런거구나,그런거구나
DZES20000051.1.1.9,2,그렇지,그렇지
DZES20000051.1.1.9,2,하나님이,하나님이
DZES20000051.1.1.9,2,그,그
DZES20000051.1.1.9,2,마음이,마음이
DZES20000051.1.1.9,2,있기,있기
DZES20000051.1.1.9,2,때문에,때문에
DZES20000051.1.1.9,2,그게,그게
DZES20000051.1.1.9,2,지,지
DZES20000051.1.1.10,2,우리,우리
DZES20000051.1.1.10,2,인간적인,인간적인
DZES20000051.1.1.10,2,생각으로,생각으로
DZES20000051.1.1.10,2,그,그
DZES20000051.1.1.10,2,도저히,도저히
DZES20000051.1.1.10,2,살,살
DZES20000051.1.1.10,2,수,수
DZES20000051.1.1.10,2,없는,없는
DZES20000051.1.1.10,2,일,일
DZES20000051.1.1.10,2,이잖아,이잖아
DZES20000051.1.1.10,2,말도,말도
DZES20000051.1.1.10,2,안,안
DZES20000051.1.1.10,2,되는,되는
DZES20000051.1.1.10,2,소리고,소리고
DZES20000051.1.1.10,2,그게,그게
DZES20000051.1.1.11,2,하나님이,하나님이
DZES20000051.1.1.11,2,그,그
DZES20000051.1.1.11,2,마음,마음
DZES20000051.1.1.11,2,주시고,주시고
DZES20000051.1.1.11,2,그게,그게
DZES20000051.1.1.11,2,확실한,확실한
DZES20000051.1.1.11,2,게,게
DZES20000051.1.1.11,2,있기,있기
DZES20000051.1.1.11,2,때문에,때문에
DZES20000051.1.1.11,2,얼굴이,얼굴이
DZES20000051.1.1.11,2,빛이,빛이
DZES20000051.1.1.11,2,나는,나는
DZES20000051.1.1.11,2,거지,거지
DZES20000051.1.1.12,2,빛이,빛이
DZES20000051.1.1.12,2,났어,났어
DZES20000051.1.1.13,2,우리도,우리도
DZES20000051.1.1.13,2,그렇게,그렇게
DZES20000051.1.1.13,2,할,할
DZES20000051.1.1.13,2,수,수
DZES20000051.1.1.13,2,있어,있어
DZES20000051.1.1.13,2,그렇게까지,그렇게까지
DZES20000051.1.1.13,2,안,안
DZES20000051.1.1.13,2,해도,해도
DZES20000051.1.1.13,2,이,#이
DZES20000051.1.1.14,2,울의,울의
DZES20000051.1.1.14,2,삶에서,삶에서
DZES20000051.1.1.14,2,하나님,하나님
DZES20000051.1.1.14,2,함께하시고,함께하시고
DZES20000051.1.1.14,2,우리,우리
DZES20000051.1.1.14,2,하나님,하나님
DZES20000051.1.1.14,2,우리를,우리를
DZES20000051.1.1.14,2,도우시고,도우시고
DZES20000051.1.1.15,2,하면,하면
DZES20000051.1.1.15,2,할,할
DZES20000051.1.1.15,2,수,수
DZES20000051.1.1.15,2,있다는,있다는
DZES20000051.1.1.15,2,애가,애가
DZES20000051.1.1.15,2,그런,그런
DZES20000051.1.1.15,2,믿음,믿음
DZES20000051.1.1.15,2,확신이,확신이
DZES20000051.1.1.15,2,서,서
DZES20000051.1.1.15,2,확신이,확신이
DZES20000051.1.1.15,2,서,서
DZES20000051.1.1.15,2,거,거
DZES20000051.1.1.15,2,이제,이제
DZES20000051.1.1.16,2,살다,살다
DZES20000051.1.1.16,2,보면,보면
DZES20000051.1.1.16,2,순간,순간
DZES20000051.1.1.16,2,순간,순간
DZES20000051.1.1.16,2,잊어버리고,잊어버리고
DZES20000051.1.1.16,2,막,막
DZES20000051.1.1.16,2,자기,자기
DZES20000051.1.1.16,2,일에,일에
DZES20000051.1.1.16,2,취해,취해
DZES20000051.1.1.16,2,가지고,가지고
DZES20000051.1.1.16,2,하나님을,하나님을
DZES20000051.1.1.16,2,뒤로,뒤로
DZES20000051.1.1.16,2,하고,하고
DZES20000051.1.1.17,2,응,응
DZES20000051.1.1.17,2,하나님,하나님
DZES20000051.1.1.17,2,나를,나를
DZES20000051.1.1.17,2,따라오시오.,따라오시오.
DZES20000051.1.1.18,2,그렇게,그렇게
DZES20000051.1.1.18,2,살다,살다
DZES20000051.1.1.18,2,보니까,보니까
DZES20000051.1.1.18,2,또,또
DZES20000051.1.1.18,2,힘들어지고,힘들어지고
DZES20000051.1.1.19,2,이거,이거
DZES20000051.1.1.19,2,있으니까,있으니까
DZES20000051.1.1.19,2,좋구나,좋구나
DZES20000051.1.1.19,2,보면,보면
DZES20000051.1.1.19,2,생각나잖아,생각나잖아
DZES20000051.1.1.19,2,이,#이
DZES20000051.1.1.20,3,진짜,진짜
DZES20000051.1.1.20,3,좋았어요.,좋았어요.
DZES20000051.1.1.21,2,난,난
DZES20000051.1.1.21,2,&name4&,&name4&
DZES20000051.1.1.21,2,그,그
